experiment,seed,evaluations,best_nrmse
BARENTS,14,1488,0.0009028714112237721
BARENTS,15,8,1.1027789709570983
BARENTS,15,16,0.9505602253027463
BARENTS,15,24,0.8633051798967515
BARENTS,15,32,0.8633051798967515
BARENTS,15,40,0.8633051798967515
BARENTS,15,48,0.6644000673178934
BARENTS,15,56,0.6644000673178934
BARENTS,15,64,0.6644000673178934
BARENTS,15,72,0.6597426808447373
BARENTS,15,80,0.6597426808447373
BARENTS,15,88,0.6597426808447373
BARENTS,15,96,0.5318567911831426
BARENTS,15,104,0.5318567911831426
BARENTS,15,112,0.5318567911831426
BARENTS,15,120,0.5106317048673155
BARENTS,15,128,0.5106317048673155
BARENTS,15,136,0.4956658042305665
BARENTS,15,144,0.4956658042305665
BARENTS,15,152,0.4956658042305665
BARENTS,15,160,0.4956658042305665
BARENTS,15,168,0.349215418686413
BARENTS,15,176,0.349215418686413
BARENTS,15,184,0.349215418686413
BARENTS,15,192,0.349215418686413
BARENTS,15,200,0.349215418686413
BARENTS,15,208,0.25653333747172147
BARENTS,15,216,0.1257919102739043
BARENTS,15,224,0.1257919102739043
BARENTS,15,232,0.1257919102739043
BARENTS,15,248,0.1257919102739043
BARENTS,15,256,0.1257919102739043
BARENTS,15,264,0.11726642390312844
BARENTS,15,280,0.09419468277047614
BARENTS,15,288,0.08683900315694074
BARENTS,15,296,0.08683900315694074
BARENTS,15,312,0.08264708114397656
BARENTS,15,328,0.08264708114397656
BARENTS,15,336,0.07828100101530353
BARENTS,15,352,0.061781963689753056
BARENTS,15,368,0.034978074749522615
BARENTS,15,384,0.028321247693941756
BARENTS,15,400,0.028321247693941756
BARENTS,15,416,0.022378172978978202
BARENTS,15,432,0.022378172978978202
BARENTS,15,448,0.022378172978978202
BARENTS,15,472,0.018866472877143544
BARENTS,15,488,0.018866472877143544
BARENTS,15,512,0.018866472877143544
BARENTS,15,528,0.018866472877143544
BARENTS,15,552,0.017950080849243304
BARENTS,15,576,0.017950080849243304
BARENTS,15,600,0.017795757255752657
BARENTS,15,624,0.01766821851423505
BARENTS,15,648,0.01766821851423505
BARENTS,15,680,0.01766821851423505
BARENTS,15,704,0.017656151113442747
BARENTS,15,736,0.017656151113442747
BARENTS,15,768,0.017646319674310997
BARENTS,15,792,0.017646319674310997
BARENTS,15,832,0.01764379513411773
BARENTS,15,864,0.01764379513411773
BARENTS,15,896,0.017643756770711276
BARENTS,15,936,0.017643756770711276
BARENTS,15,976,0.017643733035133943
