family,metric,station,param,S1,S1_conf,ST,ST_conf
robust,circular,PAPA,lambda_temperature_0,0.005929927766991699,0.01497381278880847,0.2183150739694864,0.010587182969244914
robust,circular,PAPA,gamma_lambda_temperature,0.04401157394947513,0.017404129486366108,0.3076966430350775,0.01462433519737476
robust,circular,Bay_of_Biscay,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,Bay_of_Biscay,tr_0,0.18099567881909295,0.019564476805841387,0.4864239709321903,0.024907843868780557
robust,circular,Bay_of_Biscay,gamma_tr,0.4304015725088748,0.030460682269065637,0.7515856642207233,0.028845273223120367
robust,circular,Bay_of_Biscay,lambda_temperature_0,0.029417107435755437,0.008432206356066244,0.07751001156583516,0.00654109962535887
robust,circular,Bay_of_Biscay,gamma_lambda_temperature,0.019828326446982472,0.007623953351100158,0.060316966378364666,0.004364199849231455
robust,circular,Canaries,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,Canaries,tr_0,0.13065380353606507,0.02085372378422946,0.46547236702420824,0.028302165570735657
robust,circular,Canaries,gamma_tr,0.497491797530688,0.03601606027615246,0.851249849743706,0.03291722947976155
robust,circular,Canaries,lambda_temperature_0,0.005947174935300203,0.006206456347666482,0.04515769019305652,0.007473317754248201
robust,circular,Canaries,gamma_lambda_temperature,0.005244874321847832,0.008386033159937521,0.06732433284378525,0.009471371066848836
robust,circular,BATS,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,BATS,tr_0,0.10890726110496653,0.021401055930239773,0.4522184176629598,0.029509294448791794
robust,circular,BATS,gamma_tr,0.5403483543830387,0.03257148564612344,0.8728756892435445,0.03486621195040527
robust,circular,BATS,lambda_temperature_0,0.00012097186026014988,0.004707454714470821,0.018615638993539314,0.003284193463520889
robust,circular,BATS,gamma_lambda_temperature,0.004714457404627493,0.006822704162858887,0.04966875504975998,0.007615618894367649
robust,circular,HOT,energy_transfert,0.0,0.0,0.0,0.0
robust,circular,HOT,tr_0,0.014608207030715145,0.02689543819226736,0.6793106571393354,0.029159793004558513
robust,circular,HOT,gamma_tr,0.07989824947726339,0.02791780200351956,0.8054240906650787,0.03150219988872817
robust,circular,HOT,lambda_temperature_0,0.027659195462294433,0.01871069445695697,0.3863217791904514,0.024486048154820576
robust,circular,HOT,gamma_lambda_temperature,0.06370960979585179,0.022649605284167536,0.4958188774178124,0.025699923673884482
